step_id	sample_id	step_name	tool_id	category	command	status	return_code	remote_scheduler_job_id	reason	parsed_status	standard_tables
SRR11038083_qc_fastp	SRR11038083	qc	fastp	qc	fastp -i /root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_1.fastq.gz -I /root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_2.fastq.gz -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz -O /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz --thread 12 --html /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083.fastp.html --json /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083.fastp.json	resumed	0		validated existing outputs reused		
SRR11038083_assembly_megahit	SRR11038083	assembly	megahit	assembly	megahit -1 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz -2 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/02_assembly/SRR11038083 -t 12 --memory 66571993088	resumed	0		validated existing outputs reused		
SRR11038083_plasmid_detection_genomad	SRR11038083	plasmid_detection	genomad	plasmid_detection	genomad end-to-end --cleanup --restart --threads 12 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/02_assembly/SRR11038083/final.contigs.fa /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083 /root/autodl-tmp/resources/autoplasm/genomad/genomad_db	resumed	0		validated existing outputs reused		
SRR11038083_plasmid_consensus_internal	SRR11038083	plasmid_consensus	internal	plasmid_consensus	abi internal metagenomic_plasmid.plasmid_consensus --scope worker --step-id SRR11038083_plasmid_consensus_internal	success	0		Consensus contigs from genomad: /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/contigs_summary/contigs_plasmid.fna -> /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta	not_applicable	
SRR11038083_annotation_abricate	SRR11038083	annotation	abricate	annotation	abricate --threads 12 --db card /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta > /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083/SRR11038083.card.tsv	success	0			parsed	amr_genes,annotations,plasmid_annotation
SRR11038083_annotation_amrfinderplus	SRR11038083	annotation	amrfinderplus	annotation	amrfinder -n /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta -d /root/autodl-tmp/resources/autoplasm/amrfinderplus/latest -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083/SRR11038083.amrfinder.tsv	resumed	0		validated existing outputs reused		
SRR11038083_annotation_bakta	SRR11038083	annotation	bakta	annotation	bakta --db /root/autodl-tmp/resources/autoplasm/bakta_v6_full/db --output /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083 --threads 12 --force --skip-sorf /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta	resumed	0		validated existing outputs reused		
SRR11038083_annotation_integronfinder	SRR11038083	annotation	integronfinder	annotation	integron_finder --outdir /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta	success	0			no_standard_rows	
SRR11038083_annotation_rgi	SRR11038083	annotation	rgi	annotation	rgi main --input_sequence /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta --output_file /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083/SRR11038083.rgi.tsv --input_type contig --num_threads 12	success	0			parsed	annotations,plasmid_annotation
SRR11038083_typing_plasmidfinder	SRR11038083	typing	plasmidfinder	typing	python -m plasmidfinder -i /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083 -p /root/autodl-tmp/resources/autoplasm/plasmidfinder_db/DB --legacy -x	success	0			parsed	annotations,plasmid_annotation,plasmid_predictions,plasmid_typing
report_markdown		report	report_markdown	report	abi report --type metagenomic_plasmid --result-dir /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume	success	0			parsed	artifacts
