step_id	sample_id	step_name	tool_id	category	command	status	return_code	remote_scheduler_job_id	reason	parsed_status	standard_tables
SRR11038083_qc_fastp	SRR11038083	qc	fastp	qc	fastp -i /root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_1.fastq.gz -I /root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_2.fastq.gz -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz -O /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz --thread 12 --html /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083.fastp.html --json /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083.fastp.json	resumed	0		validated existing outputs reused		
SRR11038083_assembly_megahit	SRR11038083	assembly	megahit	assembly	megahit -1 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz -2 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/02_assembly/SRR11038083 -t 12 --memory 66571993088	resumed	0		validated existing outputs reused		
SRR11038083_plasmid_detection_genomad	SRR11038083	plasmid_detection	genomad	plasmid_detection	genomad end-to-end --cleanup --restart --threads 12 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/02_assembly/SRR11038083/final.contigs.fa /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/04_plasmid_detection/SRR11038083 /root/autodl-tmp/resources/autoplasm/genomad/genomad_db	resumed	0		validated existing outputs reused		
SRR11038083_plasmid_consensus_internal	SRR11038083	plasmid_consensus	internal	plasmid_consensus	abi internal metagenomic_plasmid.plasmid_consensus --scope worker --step-id SRR11038083_plasmid_consensus_internal	success	0		Consensus contigs from genomad: /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/04_plasmid_detection/SRR11038083/contigs_summary/contigs_plasmid.fna -> /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta	not_applicable	
SRR11038083_abundance_bowtie2	SRR11038083	abundance	bowtie2	abundance	sh -c 'bowtie2-build "$1" "$2/$3$4.plasmid_index" >/dev/null && bowtie2 -x "$2/$3$4.plasmid_index" -1 "$5" -2 "$6" -p "$7" -S "$8"' autoplasm /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083 SRR11038083 '' /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz 12 /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.plasmid_alignment.sam	resumed	0		validated existing outputs reused		
SRR11038083_annotation_bakta	SRR11038083	annotation	bakta	annotation	bakta --db /root/autodl-tmp/resources/autoplasm/bakta_v6_full/db --output /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083 --threads 12 --force --skip-sorf /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta	resumed	0		validated existing outputs reused		
SRR11038083_typing_plasmidfinder	SRR11038083	typing	plasmidfinder	typing	python -m plasmidfinder -i /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/04_plasmid_detection/SRR11038083/plasmid_contigs.fasta -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/06_plasmid_typing/SRR11038083 -p /root/autodl-tmp/resources/autoplasm/plasmidfinder_db/DB --legacy -x	success	0			parsed	annotations,plasmid_annotation,plasmid_predictions,plasmid_typing
SRR11038083_abundance_samtools	SRR11038083	abundance	samtools	abundance	samtools sort -@ 12 -o /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.plasmid_alignment.bam /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.plasmid_alignment.sam	success	0			parsed	alignment_summary
SRR11038083_abundance_coverm	SRR11038083	abundance	coverm	abundance	coverm contig --bam-files /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.plasmid_alignment.bam --output-file /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.coverm.tsv --methods mean tpm rpkm --min-covered-fraction 0 --threads 12	success	0			parsed	abundance,plasmid_abundance
report_markdown		report	report_markdown	report	abi report --type metagenomic_plasmid --result-dir /root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb	success	0			parsed	artifacts
