step_id	tool_id	sample_id	input_name	path	exists	source
SRR11038083_qc_fastp	fastp	SRR11038083	read1	/root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_1.fastq.gz	True	sample
SRR11038083_qc_fastp	fastp	SRR11038083	read2	/root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_2.fastq.gz	True	sample
SRR11038083_assembly_megahit	megahit	SRR11038083	read1	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz	True	config_or_plan
SRR11038083_assembly_megahit	megahit	SRR11038083	read2	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz	True	config_or_plan
SRR11038083_plasmid_detection_genomad	genomad	SRR11038083	assembly	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/02_assembly/SRR11038083/final.contigs.fa	True	config_or_plan
SRR11038083_plasmid_detection_genomad	genomad	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/genomad/genomad_db	True	config_or_plan
SRR11038083_abundance_bowtie2	bowtie2	SRR11038083	read1	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz	True	config_or_plan
SRR11038083_abundance_bowtie2	bowtie2	SRR11038083	read2	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz	True	config_or_plan
SRR11038083_annotation_bakta	bakta	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/bakta_v6_full/db	True	config_or_plan
SRR11038083_typing_plasmidfinder	plasmidfinder	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/plasmidfinder_db/DB	True	config_or_plan
SRR11038083_abundance_samtools	samtools	SRR11038083	alignment	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.plasmid_alignment.sam	True	config_or_plan
SRR11038083_abundance_coverm	coverm	SRR11038083	bam	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/10_abundance/SRR11038083/SRR11038083.plasmid_alignment.bam	False	config_or_plan
