sample_id	tool	metric	value	unit	source_file
SRR1039508	star	Started job on	Aug 09 23:14:03		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Started mapping on	Aug 09 23:14:27		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Finished on	Aug 09 23:16:19		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Mapping speed, Million of reads per hour	722.35		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of input reads	22472992		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Average input read length	125		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Uniquely mapped reads number	21217734		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Uniquely mapped reads %	94.41%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Average mapped length	125.53		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of splices: Total	9768205		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of splices: Annotated (sjdb)	9719367		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of splices: GT/AG	9682961		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of splices: GC/AG	65190		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of splices: AT/AC	6154		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of splices: Non-canonical	13900		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Mismatch rate per base, %	0.20%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Deletion rate per base	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Deletion average length	1.49		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Insertion rate per base	0.01%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
