source	aspect	direction	term	plot_label	score	es	nes	pvalue	padj	fwer_pvalue	tag_fraction	gene_fraction	gene_symbols	method	tool	source_file
GO	BP	down	GO:0048644 | muscle organ morphogenesis	muscle organ morphogenesis [down: S1PR1,COL3A1]	-1.973738523579657	-0.6274392137765071	-1.973738523579657	0.0	0.09761107774414997	0.221	9/29	2.80%	S1PR1;COL3A1;NRG1;NOTCH1;RBPJ;TGFB2;ZFPM2;FGFR2;ENG	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0060415 | muscle tissue morphogenesis	muscle tissue morphogenesis [down: S1PR1,COL3A1]	-1.973738523579657	-0.6274392137765071	-1.973738523579657	0.0	0.09761107774414997	0.221	9/29	2.80%	S1PR1;COL3A1;NRG1;NOTCH1;RBPJ;TGFB2;ZFPM2;FGFR2;ENG	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0007613 | memory	memory [down: PLK2,TUBA1A]	-1.8506913706290655	-0.5042250660954455	-1.8506913706290655	0.0	0.11609153763869297	0.69	30/58	18.96%	PLK2;TUBA1A;FGF13;MAP1A;CAMK4;PLCB1;MDK;PTN;ADCY8;SCN2A;ABCA7;CIC;HTR2A;MAPT;NFATC4;RGS14;ATXN1;EGR1;CREB1;ADNP;KCNK2;SHANK3;PGRMC1;PRNP;RELN;NETO1;SERPINF1;APOE;SHANK1;FOXO6	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0003208 | cardiac ventricle morphogenesis	cardiac ventricle morphogenesis [down: SOX4,NRG1]	-1.8648557385377282	-0.5716042949741428	-1.8648557385377282	0.0	0.11653392702612993	0.63	14/32	10.31%	SOX4;NRG1;NOTCH1;RBPJ;TGFB2;ZFPM2;FGFR2;ENG;SFRP2;JAG1;CPE;MEF2C;TBX5;EDNRA	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0003230 | cardiac atrium development	cardiac atrium development [down: SOX4,NOTCH1]	-1.873289126207489	-0.7040430563348921	-1.873289126207489	0.0042643923240938165	0.11797050331651654	0.592	5/15	2.80%	SOX4;NOTCH1;TGFB2;ANK2;ENG	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0007632 | visual behavior	visual behavior [down: TUBA1A,ABCA7]	-1.8547682042336606	-0.6587003111593969	-1.8547682042336606	0.002105263157894737	0.1202624522445867	0.674	11/18	21.83%	TUBA1A;ABCA7;NPHP1;RGS14;CREB1;NDRG4;NETO1;APP;DEAF1;SYNPO;KIT	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0045687 | positive regulation of glial cell differentiation	positive regulation of glial cel [down: EGR2,NOTCH1]	-1.9348238499548633	-0.6746758366872133	-1.9348238499548633	0.0042643923240938165	0.12051543151306235	0.337	10/21	6.80%	EGR2;NOTCH1;IL34;MDK;PTN;TENM4;SERPINE2;ZNF488;ZNF365;BIN1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0045662 | negative regulation of myoblast differentiation	negative regulation of myoblast  [down: SOX4,NOTCH1]	-1.8312411938081905	-0.6631147652638186	-1.8312411938081905	0.004301075268817204	0.12776287055609603	0.78	7/17	12.84%	SOX4;NOTCH1;SOX9;DDIT3;TBX3;DLL1;TMEM182	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0003161 | cardiac conduction system development	cardiac conduction system develo [down: TBX18,SMAD1]	-1.835889362391822	-0.6303256809053069	-1.835889362391822	0.0	0.13034569693365233	0.762	8/21	9.42%	TBX18;SMAD1;CACNA1G;NOTCH1;MSX2;TBX3;TBX5;GATA6	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	down	GO:0060996 | dendritic spine development	dendritic spine development [down: EPHB2,EPHB3]	-1.8736038996938416	-0.6694754953329133	-1.8736038996938416	0.0021645021645021645	0.13196760839751853	0.589	11/18	18.52%	EPHB2;EPHB3;CAMK2A;PAK3;PTEN;ZNF365;DLG4;DIP2A;SHANK3;SRGAP2;SHANK1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	up	GO:0071280 | cellular response to copper ion	cellular response to copper ion [up: MT2A,MT1X]	2.114531078397962	0.799848452471157	2.114531078397962	0.0	0.009424651883227974	0.013	7/16	6.55%	MT2A;MT1X;MT1E;MT1M;MAP1LC3A;MT1L;HSF1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	up	GO:0061687 | detoxification of inorganic compound	detoxification of inorganic comp [up: MT2A,MT1X]	2.1288933937354773	0.8270491136012096	2.1288933937354773	0.0	0.013305390893968904	0.009	6/15	4.82%	MT2A;MT1X;MT1E;MT1M;MT1L;CAT	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	up	GO:0001706 | endoderm formation	endoderm formation [up: DUSP1,COL11A1]	2.012786879495229	0.6562485746273639	2.012786879495229	0.0	0.029382738224181332	0.124	12/31	11.64%	DUSP1;COL11A1;COL7A1;DUSP5;COL4A2;LAMB1;MMP15;COL8A1;INHBA;LAMA3;CDC73;ITGA4	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
GO	BP	up	GO:0046686 | response to cadmium ion	response to cadmium ion [up: MT2A,MT1X]	2.031337600094683	0.6839651211861113	2.031337600094683	0.0	0.030214325155054386	0.089	9/26	6.55%	MT2A;MT1X;MT1E;MT1M;MT1L;CAT;PPP5C;NPC1;HSF1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_gsea_plot.tsv
