source	aspect	direction	term	plot_label	score	overlap_count	term_size	selected_size	background_size	fold_enrichment	pvalue	padj	gene_symbols	method	tool	source_file
GO	CC	down	GO:0030312 | external encapsulating structure	external encapsulating structure [down: ADAM11,ADAMTS10]	9.266726701490766	104	367	2201	16008	2.061029975228005	1.1126767900263814e-13	5.410947229898293e-10	ADAM11,ADAMTS10,ADAMTS14,AGT,ANGPTL2,APLP1,BCAM,BGN,BMPER,C17orf58,CASK,CCIN,CD248,COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,COLQ,CPZ,CSPG4,CTSS,CXCL12,DST,EMID1,EMILIN2,ENTPD1,ESM1,FGFBP3,FGL2,FLG,FLRT2,FLRT3,FNDC1,GDF10,GDF15,GPC1,GPC2,HMCN1,HSP90AA1,IGSF10,INHBE,ITIH5,KAZALD1,KCP,LAMB3,LGALS3,LGALS9,LGI1,LOXL1,LOXL2,LUM,MDK,MFAP2,MFAP4,MMP1,MMP10,MMP11,MMP16,MMP2,MXRA5,NDNF,NTN5,OGN,OLFML2A,OLFML2B,PCOLCE,PODN,POSTN,RARRES2,RSPO2,S100A4,SDC3,SEMA3B,SERAC1,SERPINB6,SERPINE2,SERPINH1,SFRP2,SPARC,SPON2,SSC5D,TGFB2,TGFBI,THBS2,THSD4,TIMP3,TNC,TNFRSF11B,TNXB,VCAN,VEGFA,WNT2,WNT5A	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	CC	down	GO:0031012 | extracellular matrix	extracellular matrix [down: ADAM11,ADAMTS10]	9.240205899154178	103	366	2201	16008	2.046789462315937	2.36548297650782e-13	5.751671857378764e-10	ADAM11,ADAMTS10,ADAMTS14,AGT,ANGPTL2,APLP1,BCAM,BGN,BMPER,C17orf58,CASK,CD248,COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,COLQ,CPZ,CSPG4,CTSS,CXCL12,DST,EMID1,EMILIN2,ENTPD1,ESM1,FGFBP3,FGL2,FLG,FLRT2,FLRT3,FNDC1,GDF10,GDF15,GPC1,GPC2,HMCN1,HSP90AA1,IGSF10,INHBE,ITIH5,KAZALD1,KCP,LAMB3,LGALS3,LGALS9,LGI1,LOXL1,LOXL2,LUM,MDK,MFAP2,MFAP4,MMP1,MMP10,MMP11,MMP16,MMP2,MXRA5,NDNF,NTN5,OGN,OLFML2A,OLFML2B,PCOLCE,PODN,POSTN,RARRES2,RSPO2,S100A4,SDC3,SEMA3B,SERAC1,SERPINB6,SERPINE2,SERPINH1,SFRP2,SPARC,SPON2,SSC5D,TGFB2,TGFBI,THBS2,THSD4,TIMP3,TNC,TNFRSF11B,TNXB,VCAN,VEGFA,WNT2,WNT5A	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	MF	down	GO:0030545 | signaling receptor regulator activity	signaling receptor regulator act [down: ADM2,AGT]	6.684421880230673	77	270	2201	16008	2.0741683073350496	1.2758367418807704e-10	2.0681313585887288e-07	ADM2,AGT,CCL11,CCL7,CCL8,CD274,CDNF,COLEC10,CXCL12,CXCL16,DKK2,DLL1,DPP4,ENG,F2RL2,FGF10,FGF13,FLRT2,FLRT3,FST,GDF10,GDF11,GDF15,GDF5,GDF6,GPNMB,GRN,HGF,HSPA8,ICOSLG,IL12A,INHBE,JAG1,JAG2,KAZALD1,LGALS3,LGALS9,LGI1,LIF,LYNX1,MDK,METRNL,MICA,NGF,NRG1,NRG4,PDGFC,PGF,PLAU,PRKCE,PRRT1,PSCA,PTN,RAET1G,RAMP3,S100A4,SECTM1,SELPLG,SEMA3A,SEMA3B,SEMA3D,SEMA3F,SEMA4A,SEMA5A,SEMA6D,SFRP2,TGFB2,TNFRSF11B,TNFRSF14,TNFSF10,TNFSF13B,TNFSF15,TSLP,VEGFA,VEGFC,WNT2,WNT5A	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	BP	down	GO:0007267 | cell-cell signaling	cell-cell signaling [down: ADORA1,AGT]	6.436814658625334	97	377	2201	16008	1.871317233425366	3.008437982403482e-10	3.657508477107033e-07	ADORA1,AGT,ANGPTL2,ATF4,BEGAIN,BEST1,BRSK1,CACNB4,CADM1,CALB2,CCL7,CCL8,CCR1,CHRM2,CNIH3,COLQ,CRB1,DAGLA,DLG3,DLG4,DLL1,DRP2,DTNA,DTNB,EEA1,EFNA4,EFNB1,ELFN1,EXOC3L1,EZH2,FGF13,FGFBP3,FGFR2,GABRE,GAL3ST4,GDF15,GDF5,GJC1,GJC2,GPNMB,GPR176,GRIA3,GRIK4,GRIK5,GRIN2A,HGF,HRH1,HTR2A,KCND2,KLF10,LIN7B,LRP6,LYNX1,MAPT,MEF2C,MERTK,MPP2,NOTCH1,NPTX1,NQO1,NR3C1,P2RX6,P2RX7,PANX2,PCDH1,PCDHB13,PCDHB5,PCSK5,PGF,PHEX,PLCB1,PMP22,PPFIA3,PRRT2,PSCA,PTEN,PTPRD,RASD2,RGS10,SCN1B,SCN2B,SEMA3B,SEMA5A,SFRP2,SLC1A7,SNAP47,STX1B,SYNJ1,SYT7,TBX3,TBX5,TNFAIP6,TNFSF10,TNFSF9,TSPAN32,WNK4,WNT2	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	MF	down	GO:0030546 | signaling receptor activator activity	signaling receptor activator act [down: ADM2,AGT]	6.191211456228192	71	249	2201	16008	2.073843762145356	6.737520000309521e-10	6.438556984464431e-07	ADM2,AGT,CCL11,CCL7,CCL8,CD274,CDNF,COLEC10,CXCL12,CXCL16,DLL1,DPP4,ENG,F2RL2,FGF10,FGF13,FLRT2,FLRT3,GDF10,GDF11,GDF15,GDF5,GDF6,GPNMB,GRN,HGF,HSPA8,ICOSLG,IL12A,INHBE,JAG1,JAG2,KAZALD1,LGALS3,LGALS9,LGI1,LIF,MDK,METRNL,MICA,NGF,NRG1,NRG4,PDGFC,PGF,PLAU,PRKCE,PTN,RAET1G,S100A4,SECTM1,SELPLG,SEMA3A,SEMA3B,SEMA3D,SEMA3F,SEMA4A,SEMA5A,SEMA6D,SFRP2,TGFB2,TNFRSF11B,TNFRSF14,TNFSF10,TNFSF13B,TNFSF15,TSLP,VEGFA,VEGFC,WNT2,WNT5A	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	MF	down	GO:0048018 | receptor ligand activity	receptor ligand activity [down: ADM2,AGT]	6.191211456228192	69	240	2201	16008	2.091004089050432	7.943932121486035e-10	6.438556984464431e-07	ADM2,AGT,CCL11,CCL7,CCL8,CD274,CDNF,COLEC10,CXCL12,CXCL16,DLL1,DPP4,F2RL2,FGF10,FGF13,FLRT2,FLRT3,GDF10,GDF11,GDF15,GDF5,GDF6,GPNMB,GRN,HGF,HSPA8,ICOSLG,IL12A,INHBE,JAG1,JAG2,KAZALD1,LGALS3,LGALS9,LGI1,LIF,MDK,METRNL,MICA,NGF,NRG1,NRG4,PDGFC,PGF,PLAU,PTN,RAET1G,S100A4,SECTM1,SELPLG,SEMA3A,SEMA3B,SEMA3D,SEMA3F,SEMA4A,SEMA5A,SEMA6D,SFRP2,TGFB2,TNFRSF11B,TNFRSF14,TNFSF10,TNFSF13B,TNFSF15,TSLP,VEGFA,VEGFC,WNT2,WNT5A	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	BP	down	GO:0048666 | neuron development	neuron development [down: AHI1,APLP1]	6.032719718224742	110	457	2201	16008	1.7506265801202356	1.3349778263016589e-09	9.274281670435666e-07	AHI1,APLP1,ARHGEF40,ATAT1,ATP7A,BLOC1S2,BLOC1S5,BRINP1,BRSK1,BTG2,CAMK2A,CDNF,CELSR1,CEP290,CHN1,CNTNAP1,CXCL12,CYFIP2,DIP2A,DLG4,DPYSL3,EDNRA,EFNA4,EFNB1,EPB41L3,EPHA5,EPHB2,EPHB3,ERCC6,EVL,FEZ1,FGFR2,FLRT3,GAS7,GFRA1,GLI2,GPRIN1,HDAC2,IFT88,KALRN,KDM1A,KIAA1755,LGI1,LLGL1,LMO4,LRP4,MAP1A,MAP1B,MAPT,MEF2C,MEST,MMP2,MPDZ,NCDN,NDNF,NDRG4,NEDD4L,NEO1,NGF,NOTCH1,NPTX1,NREP,NTM,NTNG1,OMG,PAK3,PBX2,PHACTR1,PLEKHG4,PLS1,POSTN,PRKG1,PTEN,PTN,PTPRH,RAB6B,ROBO1,ROBO3,ROBO4,RPS6KA5,RTN4RL2,SAMD11,SCN1B,SEMA3A,SEMA3B,SEMA3D,SEMA3F,SEMA4A,SEMA5A,SEMA6D,SHANK3,SLC4A7,SLITRK6,SMO,SPTBN4,STMN3,TENM4,TGFB2,TNIK,TNXB,TUBA1A,TUBB3,UBB,UNC5B,UNK,VASH2,VEGFA,WNT5A,ZMIZ1,ZNF365	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	BP	down	GO:0048667 | cell morphogenesis involved in neuron differentiation	cell morphogenesis involved in n [down: APLP1,ARHGEF40]	5.018605692518467	65	236	2201	16008	2.003172671897982	1.5760864122183107e-08	9.580635278272056e-06	APLP1,ARHGEF40,BRSK1,CELSR1,CHN1,CNTNAP1,CXCL12,CYFIP2,DIP2A,DLG4,EDNRA,EFNA4,EFNB1,EPHA5,EPHB2,EPHB3,EVL,FEZ1,FGFR2,FLRT3,GLI2,KALRN,KIAA1755,LGI1,LLGL1,LMO4,LRP4,MAP1A,MAP1B,MEF2C,NEO1,NOTCH1,NPTX1,NTNG1,PAK3,PHACTR1,PLEKHG4,PLS1,PRKG1,PTEN,PTN,PTPRH,ROBO1,ROBO3,ROBO4,RPS6KA5,SCN1B,SEMA3A,SEMA3B,SEMA3D,SEMA3F,SEMA4A,SEMA5A,SEMA6D,SHANK3,SLITRK6,SMO,SPTBN4,TENM4,TUBB3,UNC5B,UNK,VEGFA,WNT5A,ZNF365	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	BP	down	GO:0031175 | neuron projection development	neuron projection development [down: APLP1,ARHGEF40]	4.9442886145975296	93	385	2201	16008	1.756868483629047	2.1040188447221507e-08	1.1368715157648687e-05	APLP1,ARHGEF40,ATP7A,BLOC1S2,BLOC1S5,BRSK1,BTG2,CAMK2A,CDNF,CELSR1,CHN1,CNTNAP1,CXCL12,CYFIP2,DIP2A,DLG4,EDNRA,EFNA4,EFNB1,EPB41L3,EPHA5,EPHB2,EPHB3,ERCC6,EVL,FEZ1,FGFR2,FLRT3,GAS7,GFRA1,GLI2,GPRIN1,HDAC2,IFT88,KALRN,KIAA1755,LGI1,LLGL1,LMO4,LRP4,MAP1A,MAP1B,MAPT,MMP2,MPDZ,NCDN,NEDD4L,NEO1,NGF,NOTCH1,NPTX1,NREP,NTNG1,OMG,PAK3,PHACTR1,PLEKHG4,PLS1,POSTN,PRKG1,PTEN,PTN,PTPRH,RAB6B,ROBO1,ROBO3,ROBO4,RPS6KA5,RTN4RL2,SCN1B,SEMA3A,SEMA3B,SEMA3D,SEMA3F,SEMA4A,SEMA5A,SEMA6D,SHANK3,SLITRK6,SMO,SPTBN4,STMN3,TENM4,TNIK,TNXB,TUBA1A,TUBB3,UBB,UNC5B,VASH2,VEGFA,WNT5A,ZNF365	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
GO	BP	down	GO:0007423 | sensory organ development	sensory organ development [down: ABCB5,ALDH1A3]	4.64015705948917	62	227	2201	16008	1.9864739095365143	4.709108218538715e-08	2.290039326675377e-05	ABCB5,ALDH1A3,ATF4,BLOC1S5,CACNA1C,CEP290,COL5A1,CPAMD8,CRB1,CRYBG3,CYP26B1,DLL1,DTNB,EDNRA,EPHB2,EYA4,FGFR2,FOXF2,GLI3,HDAC2,HSF4,IFT88,JAG1,JAG2,KCNK2,LCTL,LRIG3,MAF,MAFB,MCM2,MEIS2,MFAP2,NES,NHS,NPHP1,OSR2,PBX2,PER2,PI4KB,PLS1,PPP2R3A,PROX2,SALL2,SAMD11,SDK1,SGCD,SIX4,SLC4A7,SMG9,SOBP,SOX12,SOX4,SOX9,SPARC,TBX18,TBX3,TFAP2A,TGFB2,VEGFA,WNT2,WNT5A,ZHX2	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/go_overrepresentation_plot.tsv
