sample_id	tool	metric	value	unit	source_file
SRR1039508	fastp	before_filtering.total_reads	45871042		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.total_bases	2889875646		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.q20_bases	2834389073		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.q30_bases	2775797265		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.q20_rate	0.9808		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.q30_rate	0.960525		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.read1_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.read2_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	before_filtering.gc_content	0.499768		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.total_reads	44945984		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.total_bases	2829295824		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.q20_bases	2796967415		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.q30_bases	2742274832		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.q20_rate	0.988574		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.q30_rate	0.969243		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.read2_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039508	fastp	after_filtering.gc_content	0.499312		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039508/SRR1039508.fastp.json
SRR1039509	fastp	before_filtering.total_reads	42311414		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
