source	aspect	direction	term	plot_label	score	es	nes	pvalue	padj	fwer_pvalue	tag_fraction	gene_fraction	gene_symbols	method	tool	source_file
Reactome		down	R-HSA-9609736 | Assembly and cell surface presentation of NMDA receptors	Assembly and cell surface presen [down: TUBA4A,TUBA1A]	-1.8832427846172943	-0.6059645305504022	-1.8832427846172943	0.0	0.18171330630541546	0.253	11/28	14.23%	TUBA4A;TUBA1A;CAMK2A;DLG3;GRIN2A;TUBB3;DLG4;TUBA1B;CASK;LIN7B;APBA1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-186763 | Downstream signal transduction	Downstream signal transduction [up: PIK3R1,STAT3]	2.1385404602293745	0.7195453125952878	2.1385404602293745	0.0	0.0080182590632827	0.006	17/26	19.29%	PIK3R1;STAT3;STAT5A;PTPN11;STAT5B;PIK3CA;PDGFRA;CRK;PDGFRB;NRAS;HRAS;STAT1;PDGFA;PIK3CB;STAT6;SRC;RAPGEF1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-445355 | Smooth Muscle Contraction	Smooth Muscle Contraction [up: LMOD1,ANXA2]	2.043995130661006	0.6466389911411731	2.043995130661006	0.0	0.022336578819144665	0.03	20/34	9.53%	LMOD1;ANXA2;ANXA6;SORBS1;ACTA2;VCL;MYL12A;CALD1;MYL12B;TPM4;MYL6;ACTG2;TPM2;TLN1;SORBS3;CALM1;ITGA1;MYL9;ANXA1;TPM3	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-9006335 | Signaling by Erythropoietin	Signaling by Erythropoietin [up: IRS2,PIK3R1]	1.967484166953431	0.6890073572807649	1.967484166953431	0.0	0.043909513917976685	0.079	13/21	19.29%	IRS2;PIK3R1;STAT5A;STAT5B;PIK3CD;PLCG2;PIK3CA;JAK2;NRAS;HRAS;PIK3CB;LYN;RAPGEF1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-3000157 | Laminin interactions	Laminin interactions [up: LAMA2,COL7A1]	1.9167310744168893	0.62932433930831	1.9167310744168893	0.0	0.044864068568367485	0.15	16/30	11.16%	LAMA2;COL7A1;COL4A4;COL4A1;COL4A2;NID1;LAMC1;LAMB1;COL4A3;LAMC2;ITGA1;LAMA3;ITGB1;COL18A1;NID2;ITGA6	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-5627117 | RHO GTPases Activate ROCKs	RHO GTPases Activate ROCKs [up: ROCK2,ROCK1]	1.922743191167827	0.7236957631031484	1.922743191167827	0.0	0.048338647495789984	0.134	11/18	10.88%	ROCK2;ROCK1;PPP1R12B;MYL12B;PPP1CB;RHOB;MYL6;MYH10;MYL9;PPP1R12A;CFL1	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-9638630 | Attachment of bacteria to epithelial cells	Attachment of bacteria to epithe [up: LAMA2,COL4A4]	1.8662622809798746	0.6426710223156263	1.8662622809798746	0.0	0.051858350824867325	0.288	11/22	10.31%	LAMA2;COL4A4;COL4A1;COL4A2;LAMC1;LAMB1;COL4A3;LAMC2;COL5A3;LAMA3;COL5A2	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-9931953 | Biofilm formation	Biofilm formation [up: LAMA2,COL4A4]	1.8662622809798746	0.6426710223156263	1.8662622809798746	0.0	0.051858350824867325	0.288	11/22	10.31%	LAMA2;COL4A4;COL4A1;COL4A2;LAMC1;LAMB1;COL4A3;LAMC2;COL5A3;LAMA3;COL5A2	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-400685 | Sema4D in semaphorin signaling	Sema4D in semaphorin signaling [up: ROCK2,PLXNB1]	1.9232501021171886	0.6923433561618996	1.9232501021171886	0.0017857142857142857	0.06042330936973748	0.134	12/22	11.50%	ROCK2;PLXNB1;ROCK1;MYL12B;RHOB;RRAS;MYL6;RAC1;MYH10;MYL9;ARHGEF12;MET	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
Reactome		up	R-HSA-9671555 | Signaling by PDGFR in disease	Signaling by PDGFR in disease [up: PIK3R1,STAT3]	1.8866406889391454	0.7078840185693298	1.8866406889391454	0.00196078431372549	0.061036951644988714	0.231	9/17	15.90%	PIK3R1;STAT3;KANK1;PIK3CA;PDGFRA;NRAS;HRAS;STAT1;PIK3CB	GSEA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_gsea_plot.tsv
