source	aspect	direction	term	plot_label	score	overlap_count	term_size	selected_size	background_size	fold_enrichment	pvalue	padj	gene_symbols	method	tool	source_file
Reactome	R-HSA-2022090	down	R-HSA-2022090 | Assembly of collagen fibrils and other multimeric structures	Assembly of collagen fibrils and [down: COL12A1,COL14A1]	2.1448719872486772	20	51	2201	16008	2.852179490605874	5.740020287974626e-06	0.007163545319392333	COL12A1,COL14A1,COL15A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,CTSS,DST,LAMB3,LOXL1,LOXL2,PCOLCE	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-8948216	down	R-HSA-8948216 | Collagen chain trimerization	Collagen chain trimerization [down: COL12A1,COL14A1]	2.1130535855295824	15	34	2201	16008	3.2087019269316084	1.583497684100413e-05	0.007708083568214802	COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-1474290	down	R-HSA-1474290 | Collagen formation	Collagen formation [down: ADAMTS14,COL12A1]	2.1130535855295824	24	72	2201	16008	2.424352567014993	1.8529047038977888e-05	0.007708083568214802	ADAMTS14,COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,CTSS,DST,LAMB3,LOXL1,LOXL2,P4HA2,PCOLCE,SERPINH1	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-1474244	down	R-HSA-1474244 | Extracellular matrix organization	Extracellular matrix organizatio [down: ADAM12,ADAMTS14]	1.9656686914951922	56	240	2201	16008	1.6970467969104952	3.766864196120214e-05	0.01082259255275122	ADAM12,ADAMTS14,BGN,CAPN5,CASK,COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,CTSS,DRP2,DST,DTNA,DTNB,EMILIN2,GDF5,ITGA11,ITGA2,ITGA7,ITGA9,ITGB8,LAMB3,LOXL1,LOXL2,LRP4,LUM,MFAP2,MFAP4,MMP1,MMP10,MMP11,MMP16,MMP2,P4HA2,PCOLCE,SDC1,SDC3,SERPINH1,SGCD,SPARC,TGFB2,TNC,TNXB,VCAM1,VCAN	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-1650814	down	R-HSA-1650814 | Collagen biosynthesis and modifying enzymes	Collagen biosynthesis and modify [down: ADAMTS14,COL12A1]	1.9656686914951922	19	53	2201	16008	2.6073225720727287	4.335974580429175e-05	0.01082259255275122	ADAMTS14,COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL24A1,COL27A1,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,P4HA2,PCOLCE,SERPINH1	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-3000178	down	R-HSA-3000178 | ECM proteoglycans	ECM proteoglycans [down: BGN,COL1A1]	1.7265473258569637	20	60	2201	16008	2.424352567014993	9.023797464424474e-05	0.018769498726002906	BGN,COL1A1,COL1A2,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,ITGA2,ITGA7,ITGA9,LRP4,LUM,SPARC,TGFB2,TNC,TNXB,VCAN	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-372790	down	R-HSA-372790 | Signaling by GPCR	Signaling by GPCR [down: ABR,ACKR4]	1.6381856250719038	71	337	2201	16008	1.532305925145975	0.00012903211904854384	0.02300458351036896	ABR,ACKR4,ADCY1,ADCY4,ADCY8,ADM2,ADORA1,ADRA2A,AGT,ARHGEF2,ARHGEF3,ARHGEF37,ARHGEF40,ARHGEF9,BDKRB1,BDKRB2,CALCRL,CAMK2A,CAMK4,CCKAR,CCL11,CCL7,CCR1,CHRM2,CREB1,CXCL12,CXCL16,DAGLA,DGKB,EDNRA,EGFR,F2RL2,FGD1,FZD7,GIPR,GNG2,GPER1,GPR132,GPR176,GPR68,GPSM1,HRH1,HTR2A,KALRN,MAPK3,MCHR1,OBSCN,PDE4C,PIK3R3,PLA2G4A,PLCB1,PLEKHG5,PPP1R1B,PREX1,PRKACB,PRKCE,PTGER1,PTGFR,RAMP3,RASGRF2,RGS10,RGS14,RGS17,RGS4,RGS6,RXFP1,S1PR1,SMO,TBXA2R,WNT2,WNT5A	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-1442490	down	R-HSA-1442490 | Collagen degradation	Collagen degradation [down: COL12A1,COL14A1]	1.5705379931834593	17	49	2201	16008	2.5233057330156052	0.0001723206834606686	0.026882026619864302	COL12A1,COL14A1,COL15A1,COL16A1,COL1A1,COL1A2,COL3A1,COL4A5,COL4A6,COL5A1,COL6A3,COL6A6,COL9A2,MMP1,MMP10,MMP11,MMP2	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-445355	up	R-HSA-445355 | Smooth Muscle Contraction	Smooth Muscle Contraction [up: ACTA2,ACTG2]	6.322402281075164	21	34	2347	16008	4.212737161332364	3.814021471040689e-10	4.75989879585878e-07	ACTA2,ACTG2,ANXA1,ANXA2,ANXA6,CALD1,CALM1,ITGA1,LMOD1,MYL12A,MYL12B,MYL6,MYL9,SORBS1,SORBS3,TLN1,TPM1,TPM2,TPM3,TPM4,VCL	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
Reactome	R-HSA-9006934	up	R-HSA-9006934 | Signaling by Receptor Tyrosine Kinases	Signaling by Receptor Tyrosine K [up: AAMP,ACTB]	5.956262051226925	110	432	2347	16008	1.7367324717132984	1.7723657914371806e-09	1.1059562538568006e-06	AAMP,ACTB,ACTG1,ADAM17,ADAP1,AP2A1,ARF6,ATP6V0A2,ATP6V0B,ATP6V1D,ATP6V1E1,BTC,CALM1,CAV1,CBL,CILP,COL11A1,COL4A1,COL4A2,COL4A3,COL4A4,COL5A2,COL5A3,CRK,DIAPH1,DUSP3,ELK1,ELMO1,F3,FAM83D,FGF1,FGF22,FURIN,GAB2,GRB10,HIF1A,HNRNPF,HNRNPH1,HNRNPM,HRAS,HSPB1,IGF1R,INSR,IRS1,IRS2,ITCH,ITGB1,ITPR1,ITPR2,JAK2,LAMA2,LAMA3,LAMB1,LAMC1,LAMC2,MAP2K1,MAPK11,MAPK13,MAPK14,MAPK7,MAPKAPK2,MEF2A,MEF2D,MET,MTOR,MYC,NRAS,NRP2,NTRK2,PDGFA,PDGFRA,PDGFRB,PIK3C3,PIK3CA,PIK3R1,PPP2CB,PRDM1,PSEN1,PTBP1,PTK2B,PTPN11,PTPN12,PTPN18,PTPN3,PTPRJ,RAB4B,RAC1,RALB,RANBP9,RAP1B,RICTOR,RNF41,ROCK1,ROCK2,RPS6KA2,SGK1,SHC3,SPINT2,SPRED2,SPRY2,SRF,STAT1,STAT3,STAT5A,STAT5B,TCIRG1,THBS1,WASF1,WASF3,YAP1	ORA	rnaseq_enrichment	/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/05_enrichment/reactome_overrepresentation_plot.tsv
