run_accession	sample_accession	group	project	country	fastq_ftp_r1	fastq_ftp_r2	md5_r1	md5_r2	bytes_r1	bytes_r2	read_count	base_count
SRR14874679	SAMN19715360	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/079/SRR14874679/SRR14874679_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/079/SRR14874679/SRR14874679_2.fastq.gz	bf6db6aa8156096fc0ccee30f76560cc	04a243f0169dc533c60c8c3316c68634	5222831428	5309079302	66867530	20193994060
SRR14874680	SAMN19715359	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/080/SRR14874680/SRR14874680_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/080/SRR14874680/SRR14874680_2.fastq.gz	dd461b51371f6081d4357babf242a209	97b0725f68a64618f8ed35fe813fa6cf	5043504988	5099570549	64569919	19500115538
SRR14874685	SAMN19715357	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/085/SRR14874685/SRR14874685_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/085/SRR14874685/SRR14874685_2.fastq.gz	472bce3385bb17939ef76342bb21815c	81f95b3eaa9053a9821f581d6d2320ca	3743685342	3813508618	47686236	14401243272
SRR14874690	SAMN19715363	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/090/SRR14874690/SRR14874690_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/090/SRR14874690/SRR14874690_2.fastq.gz	98a38928af69cacca408bf8fccbb4ecc	5ee7be64d2483eda876bf54ed508e4c4	4049584518	4096652545	51478138	15546397676
SRR14874691	SAMN19715362	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/091/SRR14874691/SRR14874691_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/091/SRR14874691/SRR14874691_2.fastq.gz	5f4ef739266b5a7b0d605eb8c9fed741	76a665b62a0243bee3bd0d509b0b2e89	5128344007	5156779310	65398146	19750240092
SRR14874694	SAMN19715382	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/094/SRR14874694/SRR14874694_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/094/SRR14874694/SRR14874694_2.fastq.gz	e91252977742771383c5bf2207efb70a	65928ec6747efa639421d13a26e00871	3730806649	3817083837	47251062	14269820724
SRR14874695	SAMN19715350	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/095/SRR14874695/SRR14874695_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/095/SRR14874695/SRR14874695_2.fastq.gz	1b7aea6b2b1127213756f3d38c0b9093	08f5f0bd9b7f1fa2479153f8c193bd08	3980288219	4035392787	50644637	15294680374
SRR14874696	SAMN19715349	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/096/SRR14874696/SRR14874696_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/096/SRR14874696/SRR14874696_2.fastq.gz	8a7428e08139a31f6b157017923e595e	140c5dbc2cb190aa3533ce7f48a4fe50	4370075221	4451182169	55921384	16888257968
SRR14874697	SAMN19715348	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/097/SRR14874697/SRR14874697_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/097/SRR14874697/SRR14874697_2.fastq.gz	c04c91c723f13e00b1e502e046dc97cf	94d465126c8c0d0b63535ae26bc7d9a2	4367747358	4454009581	55458985	16748613470
SRR14874698	SAMN19715339	NC	PRJNA737472	USA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/098/SRR14874698/SRR14874698_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/098/SRR14874698/SRR14874698_2.fastq.gz	eac1f31619e62be7baa33697b233a88c	eef537f6bc3f0d37f10aa81debfad740	4600056025	4628419590	58591344	17694585888
