sample_id	r1	r2	group
SRR14874679	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874679_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874679_2.fastq.gz	NC
SRR14874680	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874680_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874680_2.fastq.gz	NC
SRR14874685	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874685_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874685_2.fastq.gz	NC
SRR14874690	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874690_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874690_2.fastq.gz	NC
SRR14874691	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874691_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874691_2.fastq.gz	NC
SRR14874694	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874694_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874694_2.fastq.gz	NC
SRR14874695	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874695_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874695_2.fastq.gz	NC
SRR14874696	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874696_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874696_2.fastq.gz	NC
SRR14874697	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874697_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874697_2.fastq.gz	NC
SRR14874698	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874698_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/NC/SRR14874698_2.fastq.gz	NC
ERR1620255	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/CD/ERR1620255_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/case3_ibd_easymetagenome/CD/ERR1620255_2.fastq.gz	CD
