sample_id	r1	r2	group	project	country	continent	r1_url	r2_url	r1_md5	r2_md5	r1_bytes	r2_bytes
SRR6504876	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504876_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504876_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504876/SRR6504876_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504876/SRR6504876_2.fastq.gz	6f484bf0b460f67439a04863289874e6	8fce8a8ceea97d0b551d487cc671d692	1927358822	2291028649
SRR6504878	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504878_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504878_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504878/SRR6504878_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504878/SRR6504878_2.fastq.gz	6b2bd0bf86b69249cf1c3864e07c4d06	de58faf5e23f1a0f494e8f93902031a6	1556493795	1817447056
SRR6504881	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504881_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504881_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504881/SRR6504881_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504881/SRR6504881_2.fastq.gz	5f2ff62c5bac9414c0109425697b6ecf	c23e760f5dd2eef54ed81124919f190e	2709153093	3023407031
SRR6504883	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504883_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504883_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504883/SRR6504883_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504883/SRR6504883_2.fastq.gz	ec08186322fb2691bca73c3ea27a1bea	bba754fe00608e01021caf75075e5c8c	1465949080	1476497479
SRR6504884	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504884_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504884_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504884/SRR6504884_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504884/SRR6504884_2.fastq.gz	9f60e4c8404eab2895db2e547e786a9b	31ca4a958da68bd0cdb07a806d84dedc	2596343200	3161084335
SRR6504885	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504885_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504885_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504885/SRR6504885_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504885/SRR6504885_2.fastq.gz	46e8107bacfb26ab3d8e37614277848c	ed2d4ae0b30a14f0f39856012524bc4a	2290520272	2695443735
SRR6504886	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504886_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504886_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504886/SRR6504886_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504886/SRR6504886_2.fastq.gz	b16c14cd1262e41c4980918ea3863575	eae09a6b361a1e055e1d71258b0435c9	2814032621	3374036381
SRR6504888	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504888_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504888_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504888/SRR6504888_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504888/SRR6504888_2.fastq.gz	fbcae420de10aa3cde03352a1a3b637d	6ea82c0eab5f6d376fb608fa260ffb97	2254545100	2542219004
SRR6504899	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504899_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504899_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504899/SRR6504899_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504899/SRR6504899_2.fastq.gz	dab739d1652479aadc06cbfb74130a68	d45846314b7d8c9190a008d8d7d22a55	1534038039	1935302206
SRR6504900	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504900_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504900_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504900/SRR6504900_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504900/SRR6504900_2.fastq.gz	85779dd34169dc6d5abc15ccfb1ba682	e881f577c2cf0980f72cc3e25f8f4865	1536896283	1753820635
