study_isolate	endpoint	state
1	ST93	recovered
1	mecA	recovered
1	core-SNP	pairwise_context_recovered_external_track
2	ST93	recovered
2	mecA	recovered
2	core-SNP	pairwise_context_recovered_external_track
3	ST93	recovered
3	mecA	recovered
3	core-SNP	pairwise_context_recovered_external_track
4	ST93	recovered
4	mecA	recovered
4	core-SNP	pairwise_context_recovered_external_track
5	ST93	recovered
5	mecA	recovered
5	core-SNP	pairwise_context_recovered_external_track
6	ST93	recovered
6	mecA	recovered
6	core-SNP	pairwise_context_recovered_external_track
