Table S1. Sample Sources and Grouping Information for the Metagenome,,,,
Project,Run,group,country,continent
ERP017091,ERR1620255,CD,China,Asia
ERP017091,ERR1620256,CD,China,Asia
ERP017091,ERR1620257,CD,China,Asia
ERP017091,ERR1620258,CD,China,Asia
ERP017091,ERR1620259,CD,China,Asia
ERP017091,ERR1620260,CD,China,Asia
ERP017091,ERR1620261,CD,China,Asia
ERP017091,ERR1620263,CD,China,Asia
ERP017091,ERR1620264,CD,China,Asia
ERP017091,ERR1620265,CD,China,Asia
ERP017091,ERR1620266,CD,China,Asia
ERP017091,ERR1620267,CD,China,Asia
ERP017091,ERR1620268,CD,China,Asia
ERP017091,ERR1620269,CD,China,Asia
ERP017091,ERR1620270,CD,China,Asia
ERP017091,ERR1620271,CD,China,Asia
ERP017091,ERR1620272,CD,China,Asia
ERP017091,ERR1620273,CD,China,Asia
ERP017091,ERR1620274,CD,China,Asia
ERP017091,ERR1620275,CD,China,Asia
ERP017091,ERR1620276,CD,China,Asia
ERP017091,ERR1620277,CD,China,Asia
ERP017091,ERR1620278,CD,China,Asia
ERP017091,ERR1620279,CD,China,Asia
ERP017091,ERR1620280,CD,China,Asia
ERP017091,ERR1620281,CD,China,Asia
ERP017091,ERR1620282,CD,China,Asia
ERP017091,ERR1620283,CD,China,Asia
ERP017091,ERR1620284,CD,China,Asia
ERP017091,ERR1620285,CD,China,Asia
ERP017091,ERR1620286,CD,China,Asia
ERP017091,ERR1620287,CD,China,Asia
ERP017091,ERR1620288,CD,China,Asia
ERP017091,ERR1620289,CD,China,Asia
ERP017091,ERR1620290,CD,China,Asia
ERP017091,ERR1620291,CD,China,Asia
ERP017091,ERR1620293,CD,China,Asia
ERP017091,ERR1620294,CD,China,Asia
ERP017091,ERR1620295,CD,China,Asia
ERP017091,ERR1620296,CD,China,Asia
ERP017091,ERR1620297,CD,China,Asia
ERP017091,ERR1620298,CD,China,Asia
ERP017091,ERR1620300,CD,China,Asia
ERP017091,ERR1620301,CD,China,Asia
ERP017091,ERR1620302,CD,China,Asia
ERP017091,ERR1620303,CD,China,Asia
ERP017091,ERR1620304,CD,China,Asia
ERP017091,ERR1620305,CD,China,Asia
ERP017091,ERR1620306,CD,China,Asia
ERP017091,ERR1620307,CD,China,Asia
ERP017091,ERR1620308,CD,China,Asia
ERP017091,ERR1620309,CD,China,Asia
ERP017091,ERR1620310,CD,China,Asia
ERP017091,ERR1620311,CD,China,Asia
ERP017091,ERR1620312,CD,China,Asia
ERP017091,ERR1620313,CD,China,Asia
ERP017091,ERR1620314,CD,China,Asia
ERP017091,ERR1620315,CD,China,Asia
ERP017091,ERR1620316,CD,China,Asia
ERP017091,ERR1620317,CD,China,Asia
ERP017091,ERR1620318,CD,China,Asia
ERP017091,ERR1620319,CD,China,Asia
ERP017091,ERR1620320,CD,China,Asia
ERP017091,ERR1620322,CD,China,Asia
ERP017091,ERR1620323,CD,China,Asia
ERP017091,ERR1620325,CD,China,Asia
ERP017091,ERR1620326,CD,China,Asia
ERP017091,ERR1620327,CD,China,Asia
ERP017091,ERR1620328,CD,China,Asia
ERP017091,ERR1620329,CD,China,Asia
