"Table S3. Genus-Level Microbiota Abundance and Statistical Differences in NC, CD, and UC Groups",,,,,,,,,
Genus,NC,CD,UC,diff_CD_NC,diff_UC_NC,diff_UC_CD,p_value_NC_vs_CD,p_value_NC_vs_UC,p_value_CD_vs_UC
Akkermansia,1.062913854,1.115935889,0.105571217,0.053022035,-0.957342636,-1.010364671,****,,
Akkermansia,1.062913854,1.115935889,0.105571217,0.053022035,-0.957342636,-1.010364671,,****,
Akkermansia,1.062913854,1.115935889,0.105571217,0.053022035,-0.957342636,-1.010364671,,,**
Alistipes,3.674311806,2.018152534,0.651979489,-1.656159272,-3.022332318,-1.366173046,****,,
Alistipes,3.674311806,2.018152534,0.651979489,-1.656159272,-3.022332318,-1.366173046,,****,
Alistipes,3.674311806,2.018152534,0.651979489,-1.656159272,-3.022332318,-1.366173046,,,***
Anaerostipes,1.336871791,0.445446416,0.625028053,-0.891425375,-0.711843738,0.179581637,****,,
Anaerostipes,1.336871791,0.445446416,0.625028053,-0.891425375,-0.711843738,0.179581637,,**,
Anaerostipes,1.336871791,0.445446416,0.625028053,-0.891425375,-0.711843738,0.179581637,,,ns
Bacteroides,25.83746192,26.81347967,27.03035082,0.976017748,1.192888901,0.216871153,ns,,
Bacteroides,25.83746192,26.81347967,27.03035082,0.976017748,1.192888901,0.216871153,,ns,
Bacteroides,25.83746192,26.81347967,27.03035082,0.976017748,1.192888901,0.216871153,,,ns
Bifidobacterium,1.633167666,0.783020667,3.557446977,-0.850146999,1.924279311,2.77442631,***,,
Bifidobacterium,1.633167666,0.783020667,3.557446977,-0.850146999,1.924279311,2.77442631,,ns,
Bifidobacterium,1.633167666,0.783020667,3.557446977,-0.850146999,1.924279311,2.77442631,,,ns
Blautia,3.884646847,1.46068579,2.40566894,-2.423961056,-1.478977907,0.944983149,****,,
Blautia,3.884646847,1.46068579,2.40566894,-2.423961056,-1.478977907,0.944983149,,**,
Blautia,3.884646847,1.46068579,2.40566894,-2.423961056,-1.478977907,0.944983149,,,ns
Collinsella,1.123156106,0.25862927,0.630452469,-0.864526836,-0.492703637,0.371823199,****,,
Collinsella,1.123156106,0.25862927,0.630452469,-0.864526836,-0.492703637,0.371823199,,**,
Collinsella,1.123156106,0.25862927,0.630452469,-0.864526836,-0.492703637,0.371823199,,,ns
Coprococcus,1.052966507,0.443970414,0.272880854,-0.608996094,-0.780085653,-0.171089559,****,,
Coprococcus,1.052966507,0.443970414,0.272880854,-0.608996094,-0.780085653,-0.171089559,,****,
Coprococcus,1.052966507,0.443970414,0.272880854,-0.608996094,-0.780085653,-0.171089559,,,ns
Dorea,1.230634753,0.377791493,0.272731432,-0.85284326,-0.957903321,-0.105060061,****,,
Dorea,1.230634753,0.377791493,0.272731432,-0.85284326,-0.957903321,-0.105060061,,***,
Dorea,1.230634753,0.377791493,0.272731432,-0.85284326,-0.957903321,-0.105060061,,,ns
Enterocloster,0.455651263,1.324744676,0.964389592,0.869093413,0.50873833,-0.360355083,ns,,
Enterocloster,0.455651263,1.324744676,0.964389592,0.869093413,0.50873833,-0.360355083,,ns,
Enterocloster,0.455651263,1.324744676,0.964389592,0.869093413,0.50873833,-0.360355083,,,ns
Escherichia,1.995673133,5.148312428,10.30967986,3.152639295,8.31400673,5.161367434,****,,
Escherichia,1.995673133,5.148312428,10.30967986,3.152639295,8.31400673,5.161367434,,***,
Escherichia,1.995673133,5.148312428,10.30967986,3.152639295,8.31400673,5.161367434,,,ns
Faecalibacterium,11.9261821,5.922966827,3.581365057,-6.003215272,-8.344817041,-2.34160177,****,,
Faecalibacterium,11.9261821,5.922966827,3.581365057,-6.003215272,-8.344817041,-2.34160177,,****,
Faecalibacterium,11.9261821,5.922966827,3.581365057,-6.003215272,-8.344817041,-2.34160177,,,ns
Flavonifractor,0.65458644,1.133637409,1.003877449,0.479050968,0.349291009,-0.12975996,ns,,
Flavonifractor,0.65458644,1.133637409,1.003877449,0.479050968,0.349291009,-0.12975996,,ns,
Flavonifractor,0.65458644,1.133637409,1.003877449,0.479050968,0.349291009,-0.12975996,,,ns
Fusobacterium,0.159758002,1.157894067,0.368011278,0.998136065,0.208253276,-0.789882789,*,,
Fusobacterium,0.159758002,1.157894067,0.368011278,0.998136065,0.208253276,-0.789882789,,ns,
Fusobacterium,0.159758002,1.157894067,0.368011278,0.998136065,0.208253276,-0.789882789,,,ns
Klebsiella,0.864596868,1.221579582,1.128121475,0.356982715,0.263524608,-0.093458107,***,,
Klebsiella,0.864596868,1.221579582,1.128121475,0.356982715,0.263524608,-0.093458107,,**,
Klebsiella,0.864596868,1.221579582,1.128121475,0.356982715,0.263524608,-0.093458107,,,ns
Lachnospira,0.84035578,0.517814148,1.071951856,-0.322541632,0.231596076,0.554137708,****,,
Lachnospira,0.84035578,0.517814148,1.071951856,-0.322541632,0.231596076,0.554137708,,ns,
Lachnospira,0.84035578,0.517814148,1.071951856,-0.322541632,0.231596076,0.554137708,,,ns
Lacticaseibacillus,0.008281073,0.00338631,1.954553628,-0.004894763,1.946272555,1.951167318,****,,
Lacticaseibacillus,0.008281073,0.00338631,1.954553628,-0.004894763,1.946272555,1.951167318,,ns,
Lacticaseibacillus,0.008281073,0.00338631,1.954553628,-0.004894763,1.946272555,1.951167318,,,ns
Mediterraneibacter,1.492670715,2.377881491,0.839489662,0.885210776,-0.653181053,-1.53839183,ns,,
Mediterraneibacter,1.492670715,2.377881491,0.839489662,0.885210776,-0.653181053,-1.53839183,,*,
Mediterraneibacter,1.492670715,2.377881491,0.839489662,0.885210776,-0.653181053,-1.53839183,,,ns
Megamonas,0.023461056,1.343068027,0.123043957,1.31960697,0.0995829,-1.22002407,ns,,
Megamonas,0.023461056,1.343068027,0.123043957,1.31960697,0.0995829,-1.22002407,,ns,
Megamonas,0.023461056,1.343068027,0.123043957,1.31960697,0.0995829,-1.22002407,,,ns
Nakaseomyces,0.000271041,0.000211859,2.181502628,-5.92E-05,2.181231587,2.181290769,**,,
Nakaseomyces,0.000271041,0.000211859,2.181502628,-5.92E-05,2.181231587,2.181290769,,ns,
Nakaseomyces,0.000271041,0.000211859,2.181502628,-5.92E-05,2.181231587,2.181290769,,,ns
Parabacteroides,5.437742427,3.172609352,2.183863951,-2.265133074,-3.253878476,-0.988745402,****,,
Parabacteroides,5.437742427,3.172609352,2.183863951,-2.265133074,-3.253878476,-0.988745402,,****,
Parabacteroides,5.437742427,3.172609352,2.183863951,-2.265133074,-3.253878476,-0.988745402,,,**
Phascolarctobacterium,0.923023903,1.13966018,0.227745289,0.216636278,-0.695278614,-0.911914892,*,,
Phascolarctobacterium,0.923023903,1.13966018,0.227745289,0.216636278,-0.695278614,-0.911914892,,****,
Phascolarctobacterium,0.923023903,1.13966018,0.227745289,0.216636278,-0.695278614,-0.911914892,,,***
Phocaeicola,13.87817279,16.66206966,16.30183508,2.783896868,2.423662295,-0.360234574,ns,,
Phocaeicola,13.87817279,16.66206966,16.30183508,2.783896868,2.423662295,-0.360234574,,ns,
Phocaeicola,13.87817279,16.66206966,16.30183508,2.783896868,2.423662295,-0.360234574,,,ns
Prevotella,4.261156835,6.794596341,3.50952057,2.533439507,-0.751636264,-3.285075771,ns,,
Prevotella,4.261156835,6.794596341,3.50952057,2.533439507,-0.751636264,-3.285075771,,ns,
Prevotella,4.261156835,6.794596341,3.50952057,2.533439507,-0.751636264,-3.285075771,,,ns
Roseburia,1.690541036,1.315962146,0.645607797,-0.37457889,-1.04493324,-0.670354349,***,,
Roseburia,1.690541036,1.315962146,0.645607797,-0.37457889,-1.04493324,-0.670354349,,***,
Roseburia,1.690541036,1.315962146,0.645607797,-0.37457889,-1.04493324,-0.670354349,,,ns
Ruminococcus,1.32270302,0.685164289,0.316747193,-0.637538731,-1.005955827,-0.368417096,****,,
Ruminococcus,1.32270302,0.685164289,0.316747193,-0.637538731,-1.005955827,-0.368417096,,****,
Ruminococcus,1.32270302,0.685164289,0.316747193,-0.637538731,-1.005955827,-0.368417096,,,ns
Simiaoa,1.090660522,0.448514826,0.079893948,-0.642145696,-1.010766573,-0.368620877,****,,
Simiaoa,1.090660522,0.448514826,0.079893948,-0.642145696,-1.010766573,-0.368620877,,****,
Simiaoa,1.090660522,0.448514826,0.079893948,-0.642145696,-1.010766573,-0.368620877,,,ns
Staphylococcus,0.134882403,1.447185055,0.045712783,1.312302652,-0.08916962,-1.401472272,ns,,
Staphylococcus,0.134882403,1.447185055,0.045712783,1.312302652,-0.08916962,-1.401472272,,*,
