sample_id	contig_id	start	end	strand	gene	product	drug_class	category	tool	evidence	identity	coverage	source_file
SRR11038083	contig_1	1	5370	+	contig_1	contig_1		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	25	285	+	relE	Toxin-antitoxin system%2C toxin component%2C RelE family		CDS	bakta	SO:0001217,UniRef:UniRef50_J9GGW3,UniRef:UniRef90_UPI00345BC938			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	428	769		HJHHLH_0002	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	1115	1303	+	HJHHLH_0003	hypothetical protein		CDS	bakta	RefSeq:WP_218460151.1,SO:0001217,UniParc:UPI001C439F44,UniRef:UniRef100_UPI001C439F44,UniRef:UniRef50_A0A414UD81,UniRef:UniRef90_A0A414UD81			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	1305	2360	+	HJHHLH_0004	Replication initiation protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A3R6HCM8,UniRef:UniRef90_A0A3R6HCM8			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	2481	3944	+	HJHHLH_0005	MobA/VirD2-like nuclease domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0AA92U6I6,UniRef:UniRef90_A0AA92U6I6			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	4093	4647	+	HJHHLH_0006	ORF6N domain-containing protein		CDS	bakta	RefSeq:WP_218460152.1,SO:0001217,UniParc:UPI001C47AE8D,UniRef:UniRef100_UPI001C47AE8D,UniRef:UniRef50_R6Q040,UniRef:UniRef90_UPI001C47AE8D			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_2	1	1316	+	contig_2	contig_2		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_2	538	1041		HJHHLH_0007	Helix-turn-helix type 11 domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A0H5PZW6,UniRef:UniRef90_A0A0H5PZW6			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_3	1	614	+	contig_3	contig_3		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
