contig_id,fasta_order,length_bp,length_kb,plasmid_score,topology,coverage,tpm,log10_tpm,replicon_type,typed,finding_group
k141_1003,38,2869,2.869,0.9802,No terminal repeats,8.7808,17.8474,1.2753,未分型,未分型,其他候选
k141_1005,41,2958,2.958,0.9667,No terminal repeats,65351.047,131115.11,5.1177,未分型,未分型,其他候选
k141_1024,48,543,0.543,0.9446,No terminal repeats,2.3308,5.1436,0.7884,未分型,未分型,其他候选
k141_1037,55,11660,11.66,0.974,No terminal repeats,299.0713,925.0754,2.9666,未分型,未分型,其他候选
k141_1040,60,2999,2.999,0.9936,DTR,7.4739,14.7972,1.1986,未分型,未分型,其他候选
k141_1043,63,2262,2.262,0.9897,DTR,9.2443,18.3837,1.2874,未分型,未分型,其他候选
k141_1045,67,2864,2.864,0.9824,DTR,26.1021,52.9854,1.7323,未分型,未分型,其他候选
k141_1048,72,1732,1.732,0.9899,DTR,17.7946,34.7596,1.5534,未分型,未分型,其他候选
k141_1049,73,3565,3.565,0.9895,DTR,67.1151,135.5345,2.1352,未分型,未分型,其他候选
k141_1051,75,2043,2.043,0.9912,DTR,16.0438,31.291,1.5091,未分型,未分型,其他候选
k141_1052,77,2138,2.138,0.9839,DTR,46.1142,90.8631,1.9631,未分型,未分型,其他候选
k141_1053,79,1963,1.963,0.9689,DTR,463.4848,911.6971,2.9603,Col(MG828),已分型,其他候选
k141_1056,86,3838,3.838,0.972,DTR,170.0117,345.7432,2.54,未分型,未分型,其他候选
k141_106,40,1462,1.462,0.9886,No terminal repeats,8.314,16.7688,1.2497,未分型,未分型,其他候选
k141_1062,96,5735,5.735,0.9957,DTR,26.417,53.7866,1.7387,未分型,未分型,其他候选
k141_1063,98,1832,1.832,0.9924,DTR,7.6219,15.076,1.2062,未分型,未分型,其他候选
k141_1066,104,3785,3.785,0.9778,DTR,11.3719,23.6128,1.3912,未分型,未分型,其他候选
k141_1067,108,6599,6.599,0.994,DTR,254.39,519.6902,2.7166,未分型,未分型,其他候选
k141_1070,112,4238,4.238,0.9612,DTR,4.5127,9.2996,1.0128,未分型,未分型,其他候选
k141_1075,121,1912,1.912,0.9897,DTR,22.4455,44.1471,1.6546,未分型,未分型,其他候选
k141_1076,127,3994,3.994,0.9769,DTR,10.5143,21.134,1.3451,未分型,未分型,其他候选
k141_1082,130,2242,2.242,0.9735,DTR,653.8231,1298.4779,3.1138,Col(BS512),已分型,其他候选
k141_1085,134,1924,1.924,0.9803,DTR,12.3427,24.3553,1.4041,未分型,未分型,其他候选
k141_1088,138,3559,3.559,0.9951,DTR,8.2092,16.5671,1.2447,未分型,未分型,其他候选
k141_1090,139,1826,1.826,0.9817,DTR,119.361,235.2102,2.3733,未分型,未分型,其他候选
k141_1093,142,2211,2.211,0.898,DTR,10.2276,20.7727,1.3379,未分型,未分型,其他候选
k141_1110,144,4672,4.672,0.9953,DTR,133.3693,269.3449,2.4319,未分型,未分型,其他候选
k141_1111,145,2331,2.331,0.9922,DTR,197.9033,394.2004,2.5968,未分型,未分型,其他候选
k141_112,43,687,0.687,0.9752,No terminal repeats,5.149,10.8412,1.0734,未分型,未分型,其他候选
k141_1124,146,6331,6.331,0.9946,DTR,831.2032,1706.0928,3.2323,未分型,未分型,其他候选
k141_1126,147,5230,5.23,0.9933,DTR,40.5593,82.4772,1.9216,未分型,未分型,其他候选
k141_1128,148,5772,5.772,0.9956,DTR,9.08,18.6562,1.2935,未分型,未分型,其他候选
k141_113,44,618,0.618,0.9948,No terminal repeats,20.6944,36.6569,1.5758,未分型,未分型,其他候选
k141_114,45,374,0.374,0.9504,No terminal repeats,1.6027,3.319,0.6354,未分型,未分型,其他候选
k141_1141,149,3314,3.314,0.9957,DTR,23.7146,48.0381,1.6905,未分型,未分型,其他候选
k141_1145,150,2228,2.228,0.9599,DTR,80.5621,159.0639,2.2043,未分型,未分型,其他候选
k141_1146,151,4336,4.336,0.988,DTR,225.531,457.2615,2.6611,未分型,未分型,其他候选
k141_1148,152,8594,8.594,0.9894,DTR,21.7063,44.7762,1.6606,未分型,未分型,其他候选
k141_1155,153,2047,2.047,0.9873,DTR,36.7333,71.7074,1.8616,未分型,未分型,其他候选
k141_117,46,801,0.801,0.9229,No terminal repeats,5.1582,10.0731,1.0443,未分型,未分型,其他候选
k141_1187,154,7180,7.18,0.9942,DTR,162.5947,332.4139,2.523,未分型,未分型,arsB–arsC–arsH 候选
k141_119,47,841,0.841,0.9692,No terminal repeats,21.9768,39.8519,1.6112,未分型,未分型,其他候选
k141_1203,155,3094,3.094,0.9947,DTR,33.0316,66.198,1.8274,未分型,未分型,其他候选
k141_1213,156,6373,6.373,0.9951,DTR,802.9825,1637.1471,3.2144,未分型,未分型,其他候选
k141_1266,10,5099,5.099,0.9913,DTR,11.6902,23.7965,1.3944,未分型,未分型,其他候选
k141_1324,35,7072,7.072,0.9941,DTR,21.0046,42.8719,1.6422,未分型,未分型,其他候选
k141_133,49,1787,1.787,0.984,No terminal repeats,50.2938,101.2429,2.0096,未分型,未分型,其他候选
k141_1339,42,2570,2.57,0.9945,DTR,33.5037,66.7748,1.8311,未分型,未分型,其他候选
k141_1478,78,2707,2.707,0.9887,DTR,16.6903,33.4746,1.5375,未分型,未分型,其他候选
