contig_id,start,end,strand,gene,product,category,feature_length_bp
k141_1187,15,314,未定,HJHHLH_0399,"Type II toxin-antitoxin system antitoxin, RelB/DinJ family",CDS,300
k141_1187,596,958,+,HJHHLH_0400,Bacterial mobilisation domain-containing protein,CDS,363
k141_1187,958,2472,+,HJHHLH_0401,relaxase/mobilization nuclease domain-containing protein,CDS,1515
k141_1187,2667,2999,+,HJHHLH_0402,Transcriptional regulator,CDS,333
k141_1187,3016,4092,+,arsB,ACR3 family arsenite efflux transporter,CDS,1077
k141_1187,4089,4505,+,arsC,arsenate reductase (glutaredoxin),CDS,417
k141_1187,4498,5214,+,arsH,arsenical resistance protein ArsH,CDS,717
k141_1187,5276,5671,未定,HJHHLH_0406,Helix-turn-helix domain-containing protein,CDS,396
k141_1187,5749,6483,未定,HJHHLH_0407,HTH marR-type domain-containing protein,CDS,735
k141_1187,6792,7067,未定,HJHHLH_0408,Addiction module antitoxin,CDS,276
k141_775,189,883,?,HJHHLHJKEC_425,origin of replication,oriC,695
k141_775,237,337,未定,RNAI,RNAI,ncRNA,101
k141_775,529,825,未定,HJHHLH_0195,Plasmid replication initiation protein,CDS,297
k141_775,1183,1284,+,HJHHLH_0196,hypothetical protein,CDS,102
k141_775,2153,3013,+,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,CDS,861
k141_775,3014,3983,?,HJHHLHJKEC_426,origin of replication,oriC,970
k141_775,3224,3328,未定,RNAI,RNAI,ncRNA,105
k141_775,4018,4212,未定,HJHHLH_0199,Rop family plasmid primer RNA-binding protein,CDS,195
k141_775,4247,4487,?,HJHHLHJKEC_433,origin of transfer,oriT,241
k141_775,4496,4819,+,mobA,plasmid mobilization protein MobA,CDS,324
k141_775,4788,5126,+,HJHHLH_0201,hypothetical protein,CDS,339
k141_775,5178,5450,+,HJHHLH_0202,HNH endonuclease,CDS,273
k141_775,5447,5851,+,HJHHLH_0203,hypothetical protein,CDS,405
k141_775,5957,6057,未定,RNAI,RNAI,ncRNA,101
