sample_id	contig_id	start	end	strand	gene	product	drug_class	category	tool	evidence	identity	coverage	source_file
SRR11038083	k141_775	2153	3013	+	TEM-116	TEM-116 is a broad-spectrum beta-lactamase found in many species of bacteria.	cephalosporin;monobactam;penicillin_beta-lactam	ARG	abricate	database=card	100.00	100.00	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083/SRR11038083.card.tsv
SRR11038083	k141_775	2153	3013	+	TEM-116	TEM-116 is a broad-spectrum beta-lactamase found in many species of bacteria.		feature	rgi	database=card	100.00	1-861/861	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/08_annotation/SRR11038083/SRR11038083.card.tsv
SRR11038083	k141_1082 flag=3 multi=491.2337 len=2242	1479..1711			Col(BS512)	plasmid replicon		replicon	plasmidfinder	identity=100.0	100.0		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_967 flag=1 multi=338.0000 len=2017	1644..1846			Col(MG828)	plasmid replicon		replicon	plasmidfinder	identity=94.09	94.09		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_1053 flag=3 multi=286.1570 len=1963	1262..1514			Col(MG828)	plasmid replicon		replicon	plasmidfinder	identity=92.89	92.89		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_241 flag=1 multi=137.1930 len=1680	70..331			Col(MG828)	plasmid replicon		replicon	plasmidfinder	identity=93.51	93.51		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_775 flag=1 multi=120.0000 len=6157	413..543			Col(pHAD28)	plasmid replicon		replicon	plasmidfinder	identity=92.37	92.37		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_880 flag=1 multi=11.0000 len=5285	540..693			Col156	plasmid replicon		replicon	plasmidfinder	identity=94.81	94.81		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_368 flag=1 multi=577.6337 len=6695	2875..3067			ColpVC	plasmid replicon		replicon	plasmidfinder	identity=100.0	100.0		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_368 flag=1 multi=577.6337 len=6695	892..1084			ColpVC	plasmid replicon		replicon	plasmidfinder	identity=94.82	94.82		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
SRR11038083	k141_524 flag=3 multi=10090.1272 len=2893	1410..2089			repUS2	plasmid replicon		replicon	plasmidfinder	identity=98.53	98.53		/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/06_plasmid_typing/SRR11038083/results_tab.tsv
