contig_id,CALIN,complete,In0,topology,size_bp,integron_positive
k141_610,0,0,0,lin,5370,False
k141_1842,0,0,0,lin,1316,False
k141_929,0,0,0,lin,614,False
k141_323,0,0,0,lin,641,False
k141_21,0,0,0,lin,1805,False
k141_1863,0,0,0,lin,845,False
k141_946,0,0,0,lin,634,False
k141_34,0,0,0,lin,423,False
k141_1562,0,0,0,lin,3162,False
k141_1266,0,0,0,lin,5099,False
k141_630,0,0,0,lin,4920,False
k141_960,0,0,0,lin,4042,False
k141_57,0,0,0,lin,566,False
k141_367,0,0,0,lin,820,False
k141_62,0,0,0,lin,1497,False
k141_655,0,0,0,lin,367,False
k141_967,0,0,0,lin,2017,False
k141_69,0,0,0,lin,853,False
k141_368,0,0,0,lin,6695,False
k141_663,0,0,0,lin,3212,False
k141_373,0,0,0,lin,606,False
k141_1596,0,0,0,lin,3202,False
k141_374,0,0,0,lin,1173,False
k141_979,0,0,0,lin,1673,False
k141_669,0,0,0,lin,1709,False
k141_82,0,0,0,lin,447,False
k141_1598,0,0,0,lin,4304,False
k141_385,0,0,0,lin,1112,False
k141_386,0,0,0,lin,472,False
k141_992,0,0,0,lin,1189,False
k141_994,0,0,0,lin,816,False
k141_391,0,0,0,lin,792,False
k141_98,0,0,0,lin,780,False
k141_684,0,0,0,lin,595,False
k141_1324,0,0,0,lin,7072,False
k141_396,0,0,0,lin,3086,False
k141_686,0,0,0,lin,749,False
k141_1003,0,0,0,lin,2869,False
k141_693,0,0,0,lin,1444,False
k141_106,0,0,0,lin,1462,False
k141_1005,0,0,0,lin,2958,False
k141_1339,0,0,0,lin,2570,False
k141_112,0,0,0,lin,687,False
k141_113,0,0,0,lin,618,False
k141_114,0,0,0,lin,374,False
k141_117,0,0,0,lin,801,False
k141_119,0,0,0,lin,841,False
k141_1024,0,0,0,lin,543,False
k141_133,0,0,0,lin,1787,False
k141_725,0,0,0,lin,607,False
k141_431,0,0,0,lin,11033,False
k141_738,0,0,0,lin,357,False
k141_435,0,0,0,lin,3454,False
k141_157,0,0,0,lin,973,False
k141_1037,0,0,0,lin,11660,False
k141_436,0,0,0,lin,2848,False
k141_747,0,0,0,lin,1584,False
k141_754,0,0,0,lin,941,False
k141_163,0,0,0,lin,1992,False
k141_1040,0,0,0,lin,2999,False
k141_164,0,0,0,lin,1459,False
k141_172,0,0,0,lin,481,False
k141_1043,0,0,0,lin,2262,False
k141_757,0,0,0,lin,5734,False
k141_442,0,0,0,lin,8353,False
k141_176,0,0,0,lin,379,False
k141_1045,0,0,0,lin,2864,False
k141_182,0,0,0,lin,1341,False
k141_450,0,0,0,lin,934,False
k141_763,0,0,0,lin,2804,False
k141_186,0,0,0,lin,527,False
k141_1048,0,0,0,lin,1732,False
k141_1049,0,0,0,lin,3565,False
k141_775,0,0,0,lin,6157,False
k141_1051,0,0,0,lin,2043,False
k141_207,0,0,0,lin,2154,False
k141_1052,0,0,0,lin,2138,False
k141_1478,0,0,0,lin,2707,False
k141_1053,0,0,0,lin,1963,False
k141_208,0,0,0,lin,4382,False
k141_462,0,0,0,lin,10720,False
k141_465,0,0,0,lin,396,False
k141_213,0,0,0,lin,3625,False
k141_795,0,0,0,lin,464,False
k141_214,0,0,0,lin,1787,False
k141_1056,0,0,0,lin,3838,False
k141_483,0,0,0,lin,560,False
k141_801,0,0,0,lin,3502,False
k141_802,0,0,0,lin,902,False
k141_803,0,0,0,lin,644,False
k141_224,0,0,0,lin,2802,False
k141_1500,0,0,0,lin,3044,False
k141_231,0,0,0,lin,446,False
k141_810,0,0,0,lin,648,False
k141_237,0,0,0,lin,465,False
k141_1062,0,0,0,lin,5735,False
k141_239,0,0,0,lin,440,False
k141_1063,0,0,0,lin,1832,False
k141_241,0,0,0,lin,1680,False
k141_1505,0,0,0,lin,5242,False
k141_822,0,0,0,lin,558,False
k141_247,0,0,0,lin,1436,False
k141_511,0,0,0,lin,351,False
k141_1066,0,0,0,lin,3785,False
k141_253,0,0,0,lin,2004,False
k141_256,0,0,0,lin,2171,False
k141_837,0,0,0,lin,1100,False
k141_1067,0,0,0,lin,6599,False
k141_524,0,0,0,lin,2893,False
k141_525,0,0,0,lin,672,False
k141_526,0,0,0,lin,1768,False
k141_1070,0,0,0,lin,4238,False
k141_527,0,0,0,lin,1048,False
k141_275,0,0,0,lin,455,False
k141_533,0,0,0,lin,528,False
k141_279,0,0,0,lin,557,False
k141_855,0,0,0,lin,727,False
k141_280,0,0,0,lin,773,False
k141_538,0,0,0,lin,1065,False
k141_287,0,0,0,lin,498,False
k141_1075,0,0,0,lin,1912,False
k141_542,0,0,0,lin,708,False
k141_290,0,0,0,lin,482,False
k141_543,0,0,0,lin,690,False
k141_291,0,0,0,lin,1090,False
k141_866,0,0,0,lin,1040,False
k141_1076,0,0,0,lin,3994,False
k141_297,0,0,0,lin,552,False
k141_555,0,0,0,lin,527,False
k141_1082,0,0,0,lin,2242,False
k141_880,0,0,0,lin,5285,False
k141_882,0,0,0,lin,1015,False
k141_883,0,0,0,lin,1576,False
k141_1085,0,0,0,lin,1924,False
k141_886,0,0,0,lin,609,False
k141_587,0,0,0,lin,437,False
k141_588,0,0,0,lin,708,False
k141_1088,0,0,0,lin,3559,False
k141_1090,0,0,0,lin,1826,False
k141_891,0,0,0,lin,5314,False
k141_600,0,0,0,lin,519,False
k141_1093,0,0,0,lin,2211,False
k141_908,0,0,0,lin,736,False
k141_1110,0,0,0,lin,4672,False
k141_1111,0,0,0,lin,2331,False
k141_1124,0,0,0,lin,6331,False
k141_1126,0,0,0,lin,5230,False
k141_1128,0,0,0,lin,5772,False
k141_1141,0,0,0,lin,3314,False
k141_1145,0,0,0,lin,2228,False
k141_1146,0,0,0,lin,4336,False
k141_1148,0,0,0,lin,8594,False
k141_1155,0,0,0,lin,2047,False
k141_1187,0,0,0,lin,7180,False
k141_1203,0,0,0,lin,3094,False
k141_1213,0,0,0,lin,6373,False
