sample_id	contig_id	gene_id	start	end	strand	gene	product	functional_label	tool	source_file
SRR11038083	contig_1	contig_1	1	5370	+	contig_1	contig_1	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	relE	25	285	+	relE	Toxin-antitoxin system%2C toxin component%2C RelE family	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	HJHHLH_0002	428	769		HJHHLH_0002	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	HJHHLH_0003	1115	1303	+	HJHHLH_0003	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	HJHHLH_0004	1305	2360	+	HJHHLH_0004	Replication initiation protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	HJHHLH_0005	2481	3944	+	HJHHLH_0005	MobA/VirD2-like nuclease domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_1	HJHHLH_0006	4093	4647	+	HJHHLH_0006	ORF6N domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_2	contig_2	1	1316	+	contig_2	contig_2	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_2	HJHHLH_0007	538	1041		HJHHLH_0007	Helix-turn-helix type 11 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_3	contig_3	1	614	+	contig_3	contig_3	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_4	contig_4	1	641	+	contig_4	contig_4	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	contig_5	1	1805	+	contig_5	contig_5	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	HJHHLH_0008	18	737	+	HJHHLH_0008	Replication protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	HJHHLH_0009	764	1201	+	HJHHLH_0009	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	HJHHLH_0010	1083	1532		HJHHLH_0010	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_6	contig_6	1	845	+	contig_6	contig_6	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_6	HJHHLH_0011	282	557	+	HJHHLH_0011	RNA polymerase sigma factor%2C sigma-70 family	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_7	contig_7	1	634	+	contig_7	contig_7	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_7	HJHHLH_0012	24	596	+	HJHHLH_0012	MobA/MobL family protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_8	contig_8	1	423	+	contig_8	contig_8	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_8	mbpA	49	348		mbpA	mobilization protein MbpA	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	contig_9	1	3162	+	contig_9	contig_9	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	HJHHLH_0014	157	891	+	HJHHLH_0014	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	HJHHLH_0015	906	1289	+	HJHHLH_0015	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	HJHHLH_0016	1812	2804	+	HJHHLH_0016	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	contig_10	1	5099	+	contig_10	contig_10	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	brnA	351	641		brnA	BrnA antitoxin of type II toxin-antitoxin system	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	brnT	638	886		brnT	BrnT family toxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	HJHHLH_0019	968	1483	+	HJHHLH_0019	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	HJHHLH_0020	1606	2628	+	HJHHLH_0020	Initiator Rep protein WH1 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	HJHHLH_0021	2702	3109	+	HJHHLH_0021	Helix-turn-helix domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	HJHHLH_0022	3251	3943		HJHHLH_0022	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	HJHHLH_0023	4094	4465		HJHHLH_0023	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	lspA	4516	4992	+	lspA	signal peptidase II	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	contig_11	1	4920	+	contig_11	contig_11	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	HJHHLH_0025	149	328	+	HJHHLH_0025	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	HJHHLH_0026	332	1861	+	HJHHLH_0026	Replication protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	HJHHLH_0027	2106	2387	+	HJHHLH_0027	Type II toxin-antitoxin system RelB/DinJ family antitoxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	yafQ	2380	2652	+	yafQ	mRNA interferase YafQ	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	HJHHLH_0029	2671	2919	+	HJHHLH_0029	DUF5060 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	HJHHLH_0030	2916	3449	+	HJHHLH_0030	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	HJHHLH_0031	3533	3886	+	HJHHLH_0031	XRE family transcriptional regulator	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	contig_12	1	4042	+	contig_12	contig_12	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	HJHHLH_0032	119	1204	+	HJHHLH_0032	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	HJHHLH_0033	1395	2837	+	HJHHLH_0033	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	HJHHLH_0034	2922	3386	+	HJHHLH_0034	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	HJHHLH_0035	3415	3921	+	HJHHLH_0035	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_13	contig_13	1	566	+	contig_13	contig_13	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_14	contig_14	1	820	+	contig_14	contig_14	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_15	contig_15	1	1497	+	contig_15	contig_15	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
