reference_id	reference_length	coverage_fraction	hit_count	selected	prediction_status
k141_1003	595	0.00000000	0	false	false_positive_no_match
k141_1019	708	0.00000000	0	false	false_positive_no_match
k141_1021	10720	0.00000000	0	false	false_positive_no_match
k141_1039	2999	0.00000000	0	false	false_positive_no_match
k141_1042	2262	0.00000000	0	false	false_positive_no_match
k141_1044	2864	0.00000000	0	false	false_positive_no_match
k141_1047	1732	0.00000000	0	false	false_positive_no_match
k141_1048	3565	0.00000000	0	false	false_positive_no_match
k141_1050	2043	0.00000000	0	false	false_positive_no_match
k141_1051	2138	0.00000000	0	false	false_positive_no_match
k141_1052	1963	1.00000000	3	true	true_positive
k141_1055	3838	0.00000000	0	false	false_positive_no_match
k141_1061	5735	1.00000000	1	true	true_positive
k141_1062	1832	0.00000000	0	false	false_positive_no_match
k141_1065	3785	0.00000000	0	false	false_positive_no_match
k141_1066	6599	0.00000000	0	false	false_positive_no_match
k141_1069	4238	0.00000000	0	false	false_positive_no_match
k141_1074	1912	0.00000000	0	false	false_positive_no_match
k141_1075	3994	0.00000000	0	false	false_positive_no_match
k141_1079	7180	0.35766017	0	false	false_positive_no_match
k141_1080	6373	0.99919808	1	true	true_positive
k141_1087	2707	0.00000000	0	false	false_positive_no_match
k141_1097	5772	1.00000000	5	true	true_positive
k141_1106	482	0.00000000	0	false	false_positive_no_match
k141_1112	7072	0.09587104	0	false	false_positive_no_match
k141_1126	6331	0.13868267	0	false	false_positive_no_match
k141_1132	4304	0.00000000	0	false	false_positive_no_match
k141_1134	5242	0.00000000	0	false	false_positive_no_match
k141_115	560	0.00000000	0	false	false_positive_no_match
k141_1150	5099	0.00000000	0	false	false_positive_no_match
k141_1158	1826	0.00000000	0	false	false_positive_no_match
k141_1162	2570	0.00000000	0	false	false_positive_no_match
k141_1165	3162	0.00000000	0	false	false_positive_no_match
k141_1168	3094	0.00000000	0	false	false_positive_no_match
k141_1178	4336	0.33879151	0	false	false_positive_no_match
k141_1182	3202	1.00000000	1	true	true_positive
k141_1190	1316	0.00000000	0	false	false_positive_no_match
k141_1194	2047	0.00000000	0	false	false_positive_no_match
k141_1209	3044	0.05453351	0	false	false_positive_no_match
k141_121	1436	0.16760711	0	false	false_positive_no_match
k141_1278	4672	0.00000000	0	false	false_positive_no_match
k141_1279	2331	0.00000000	0	false	false_positive_no_match
k141_1357	3314	0.00000000	0	false	false_positive_no_match
k141_1381	8594	0.00000000	0	false	false_positive_no_match
k141_140	464	0.30991085	0	false	false_positive_no_match
k141_1434	2242	1.00000000	17	true	true_positive
k141_1441	3559	0.99943804	1	true	true_positive
k141_1456	5230	0.00000000	0	false	false_positive_no_match
k141_148	820	0.29570862	0	false	false_positive_no_match
k141_15	749	0.00000000	0	false	false_positive_no_match
k141_150	1787	0.18378782	0	false	false_positive_no_match
k141_1527	845	0.00000000	0	false	false_positive_no_match
k141_162	1173	0.00000000	0	false	false_positive_no_match
k141_166	1805	1.00000000	2	true	true_positive
k141_167	465	0.00000000	0	false	false_positive_no_match
k141_172	690	0.00000000	0	false	false_positive_no_match
k141_173	2171	0.00000000	0	false	false_positive_no_match
k141_175	1040	0.00000000	0	false	false_positive_no_match
k141_178	4382	0.00000000	0	false	false_positive_no_match
k141_180	1787	0.00000000	0	false	false_positive_no_match
k141_1818	1924	0.00000000	0	false	false_positive_no_match
k141_2017	2211	0.00000000	0	false	false_positive_no_match
k141_202	3502	0.00000000	0	false	false_positive_no_match
k141_2086	2228	0.00000000	0	false	false_positive_no_match
k141_209	773	0.00000000	0	false	false_positive_no_match
k141_216	498	0.00000000	0	false	false_positive_no_match
k141_237	644	0.00000000	0	false	false_positive_no_match
k141_25	423	0.08840125	0	false	false_positive_no_match
k141_252	6695	0.66452577	0	false	false_positive_no_match
k141_253	606	0.00000000	0	false	false_positive_no_match
k141_272	5314	0.00000000	0	false	false_positive_no_match
k141_290	1112	0.00000000	0	false	false_positive_no_match
k141_292	11033	0.75328560	0	false	false_positive_no_match
k141_299	3454	0.00000000	0	false	false_positive_no_match
k141_316	1048	0.00000000	0	false	false_positive_no_match
k141_335	4042	0.00000000	0	false	false_positive_no_match
k141_340	973	0.64612326	0	false	false_positive_no_match
k141_343	672	0.00000000	0	false	false_positive_no_match
k141_357	708	0.00000000	0	false	false_positive_no_match
k141_375	5734	0.00000000	0	false	false_positive_no_match
k141_387	1065	0.00000000	0	false	false_positive_no_match
k141_391	437	0.00000000	0	false	false_positive_no_match
k141_410	816	0.00000000	0	false	false_positive_no_match
k141_415	3086	0.00000000	0	false	false_positive_no_match
k141_421	2869	0.00000000	0	false	false_positive_no_match
k141_422	3212	0.41127139	0	false	false_positive_no_match
k141_426	351	0.00000000	0	false	false_positive_no_match
k141_437	374	0.00000000	0	false	false_positive_no_match
k141_440	1680	1.00000000	13	true	true_positive
k141_456	1709	0.03920421	0	false	false_positive_no_match
k141_460	792	0.12982221	0	false	false_positive_no_match
k141_469	4920	0.65246562	0	false	false_positive_no_match
k141_476	634	0.00000000	0	false	false_positive_no_match
k141_479	618	0.00000000	0	false	false_positive_no_match
k141_481	5285	1.00000000	15	true	true_positive
k141_498	607	0.09132706	0	false	false_positive_no_match
k141_509	727	0.00000000	0	false	false_positive_no_match
k141_52	853	0.18655387	0	false	false_positive_no_match
k141_521	558	0.00000000	0	false	false_positive_no_match
k141_522	1459	0.00000000	0	false	false_positive_no_match
k141_523	1584	0.00000000	0	false	false_positive_no_match
k141_531	609	0.31351655	0	false	false_positive_no_match
k141_537	1100	0.00000000	0	false	false_positive_no_match
k141_544	2017	0.31531978	0	false	false_positive_no_match
k141_553	941	0.00000000	0	false	false_positive_no_match
k141_571	543	0.00000000	0	false	false_positive_no_match
k141_596	780	0.00000000	0	false	false_positive_no_match
k141_599	440	0.00000000	0	false	false_positive_no_match
k141_61	447	0.00000000	0	false	false_positive_no_match
