track	sample_a	sample_b	snp_distance
paper_spandx	SRR2057030	SRR2057031	47
paper_spandx	SRR2057030	SRR2057032	48
paper_spandx	SRR2057030	SRR2057033	34
paper_spandx	SRR2057030	SRR2057034	29
paper_spandx	SRR2057030	SRR2057035	56
paper_spandx	SRR2057031	SRR2057032	51
paper_spandx	SRR2057031	SRR2057033	45
paper_spandx	SRR2057031	SRR2057034	40
paper_spandx	SRR2057031	SRR2057035	51
paper_spandx	SRR2057032	SRR2057033	46
paper_spandx	SRR2057032	SRR2057034	41
paper_spandx	SRR2057032	SRR2057035	60
paper_spandx	SRR2057033	SRR2057034	7
paper_spandx	SRR2057033	SRR2057035	54
paper_spandx	SRR2057034	SRR2057035	49
abi_bcftools	SRR2057030	SRR2057031	56
abi_bcftools	SRR2057030	SRR2057032	57
abi_bcftools	SRR2057030	SRR2057033	47
abi_bcftools	SRR2057030	SRR2057034	43
abi_bcftools	SRR2057030	SRR2057035	73
abi_bcftools	SRR2057031	SRR2057032	55
abi_bcftools	SRR2057031	SRR2057033	53
abi_bcftools	SRR2057031	SRR2057034	49
abi_bcftools	SRR2057031	SRR2057035	63
abi_bcftools	SRR2057032	SRR2057033	54
abi_bcftools	SRR2057032	SRR2057034	50
abi_bcftools	SRR2057032	SRR2057035	72
abi_bcftools	SRR2057033	SRR2057034	10
abi_bcftools	SRR2057033	SRR2057035	70
abi_bcftools	SRR2057034	SRR2057035	66
