sample_id	contig_id	final_plasmid_call	decision_strategy	support_tools	support_count	total_tools	confidence_score	weighted_score	weight_threshold	tool_weights	contig_length	evidence	warnings
SRR11038083	k141_1003	True	single_tool	genomad	1	1	1.0				2869	genomad:0.9802	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1005	True	single_tool	genomad	1	1	1.0				2958	genomad:0.9667	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1024	True	single_tool	genomad	1	1	1.0				543	genomad:0.9446	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1037	True	single_tool	genomad	1	1	1.0				11660	genomad:0.974	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1040	True	single_tool	genomad	1	1	1.0				2999	genomad:0.9936	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1043	True	single_tool	genomad	1	1	1.0				2262	genomad:0.9897	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1045	True	single_tool	genomad	1	1	1.0				2864	genomad:0.9824	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1048	True	single_tool	genomad	1	1	1.0				1732	genomad:0.9899	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1049	True	single_tool	genomad	1	1	1.0				3565	genomad:0.9895	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1051	True	single_tool	genomad	1	1	1.0				2043	genomad:0.9912	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1052	True	single_tool	genomad	1	1	1.0				2138	genomad:0.9839	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1053	True	single_tool	genomad	1	1	1.0				1963	genomad:0.9689	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1056	True	single_tool	genomad	1	1	1.0				3838	genomad:0.972	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_106	True	single_tool	genomad	1	1	1.0				1462	genomad:0.9886	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1062	True	single_tool	genomad	1	1	1.0				5735	genomad:0.9957	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1063	True	single_tool	genomad	1	1	1.0				1832	genomad:0.9924	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1066	True	single_tool	genomad	1	1	1.0				3785	genomad:0.9778	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1067	True	single_tool	genomad	1	1	1.0				6599	genomad:0.994	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1070	True	single_tool	genomad	1	1	1.0				4238	genomad:0.9612	Virus/plasmid boundaries can be ambiguous.
SRR11038083	k141_1075	True	single_tool	genomad	1	1	1.0				1912	genomad:0.9897	Virus/plasmid boundaries can be ambiguous.
