rank,contig_id,tpm,coverage,length_bp,replicon_type,finding_group
1,k141_524,802878.75,197599.8,2893,repUS2,其他候选
2,k141_1005,131115.11,65351.047,2958,未分型,其他候选
3,k141_462,21741.773,9624.68,10720,未分型,其他候选
4,k141_436,11366.193,5623.8335,2848,未分型,其他候选
5,k141_247,3961.6526,2085.2744,1436,未分型,其他候选
6,k141_368,1855.8031,913.7061,6695,ColpVC,其他候选
7,k141_186,1731.2418,1024.9523,527,未分型,其他候选
8,k141_1124,1706.0928,831.2032,6331,未分型,其他候选
9,k141_1213,1637.1471,802.9825,6373,未分型,其他候选
10,k141_21,1394.6704,716.6362,1805,未分型,其他候选
11,k141_630,1375.7247,678.1987,4920,未分型,其他候选
12,k141_1082,1298.4779,653.8231,2242,Col(BS512),其他候选
